CS+1,CS+2,CS-1,CS-2
3.0,3,4.0,3.0
4.0,4,4.0,4.0
4.0,5,4.0,2.0
3.0,2,2.0,4.0
1.0,4,2.0,4.0
5.0,1,2.0,2.0
1.0,1,2.0,2.0
1.0,2,2.0,2.0
3.0,2,2.0,6.0
6.0,2,2.0,6.0
7.0,2,3.0,3.0
9.0,2,3.0,3.0
7.0,10,2.0,3.0
7.0,2,6.0,3.0
11.0,6,3.0,6.0
3.0,6,3.0,7.0
5.0,3,7.0,7.0
1.0,2,7.0,5.0
4.0,7,7.0,7.0
3.0,2,5.0,7.0
2.0,5,7.0,7.0
3.0,7,7.0,5.0
10.0,7,5.0,6.0
6.0,7,3.0,7.0
25.0,7,18.0,5.0
12.0,10,5.0,5.0
17.0,5,5.0,6.0
9.0,6,4.0,10.0
7.0,7,3.0,6.0
18.0,5,10.0,6.0
8.0,11,6.0,6.0
5.0,3,6.0,25.0
6.0,6,25.0,3.0
16.0,18,4.0,17.0
12.0,7,9.0,17.0
4.0,1,9.0,9.0
12.0,5,11.0,9.0
18.0,5,2.0,11.0
15.0,3,2.0,8.0
3.0,5,2.0,8.0
3.0,6,12.0,4.0
9.0,11,3.0,4.0
9.0,8,12.0,16.0
6.0,4,12.0,12.0
11.0,3,22.0,22.0
6.0,3,4.0,12.0
16.0,8,3.0,4.0
7.0,8,3.0,3.0
5.0,14,9.0,3.0
11.0,12,9.0,9.0
14.0,11,9.0,9.0
6.0,15,6.0,6.0
9.0,4,6.0,6.0
4.0,5,6.0,11.0
10.0,12,6.0,11.0
12.0,11,16.0,6.0
11.0,3,16.0,6.0
17.0,12,11.0,6.0
17.0,22,8.0,6.0
12.0,12,8.0,16.0
18.0,12,6.0,7.0
24.0,27,9.0,9.0
,11,9.0,14.0
,3,6.0,8.0
,6,14.0,10.0
,4,4.0,17.0
,11,10.0,17.0
,9,12.0,12.0
,13,12.0,18.0
,13,,
,8,,
,6,,
,5,,
,6,,
,7,,
,14,,
,8,,
,12,,
,13,,
,9,,
,12,,
,16,,
,14,,
